passenger_id,name,gender,nationality
P0201,Michele Perry,Male,Czech Republic
P0202,Javier Mccormick,Male,Bolivia
P0203,Michelle Alvarado,Male,Iraq
P0204,Jamie Harrell,Female,Norway
P0205,James Bender,Female,Saint Barthelemy
P0206,Amy Burns,Female,Malta
P0207,Angela Sparks,Male,Nicaragua
P0208,Cynthia Salas,Male,United States of America
P0209,Christine Norman,Female,Sudan
P0210,Robert Davis,Male,Puerto Rico
P0211,Gregory Williams,Female,Trinidad and Tobago
P0212,Suzanne Myers,Male,Algeria
P0213,Norman Daniel,Female,Korea
P0214,Vanessa Yang,Female,Bhutan
P0215,Alexander Smith,Female,Mali
P0216,Michele Hunter,Male,Cambodia
P0217,Emily Buchanan,Female,Uganda
P0218,David Rhodes,Female,Saint Vincent and the Grenadines
P0219,Mary Burke,Female,Heard Island and McDonald Islands
P0220,Robert Johnson,Female,Nigeria
