passenger_id,name,gender,nationality
P0049,Justin Thomas,Female,Tokelau
P0108,Brian Anderson,Female,Eritrea
P0113,Brian Richardson,Male,Dominican Republic
P0106,Joshua Shepherd Jr.,Female,Netherlands
P0149,Katherine Bowen DVM,Male,Mexico
P0154,Angel Thompson,Female,Gambia
P0196,Monica Dillon,Female,Belarus
P0155,Robert Singleton,Female,Northern Mariana Islands
P0032,Daniel Douglas,Male,Singapore
P0158,Jamie Mcneil,Male,Burundi
P0221,Amy Welch,Male,Croatia
P0222,Maria Taylor,Male,Lao People's Democratic Republic
P0223,Nicholas Gomez,Female,Cook Islands
P0224,Jason Jensen,Female,Rwanda
P0225,William Lopez,Male,Heard Island and McDonald Islands
